procedure_code,procedure_description,benefit_group
pcd635,Abdominal Aortic Aneurysm Replacement - Infrarenal - With Bifurcation Graft To Iliac Arteries,surgeries
pcd636,Abdominal Aortic Aneurysm Replacement - Infrarenal - With Bifurcation Graft To Femoral Arteries,surgeries
pcd637,Renal Visceral Artery Aneurysm Repair - In Situ (surgeon max is per surgeon; up to two surgeons allowed),surgeries
pcd638,Abdominal Aortic Aneurysm - Infrarenal - Endoluminal Stent-Graft Repair,surgeries
pcd640,Abdominal Aortic Aneurysm - Infrarenal - Endoluminal Stent-Graft Repair (EVAR) with Bifurcation graft,surgeries
pcd642,Illio-Femoral Bypass Graft,surgeries
pcd645,"Hepatic arteriogram, Lumbar Arteriogram, Renal Angiogram",surgeries
pcd649,Apocrinectomy - Bilateral,surgeries
pcd655,Flaps- uncomplicated,surgeries
pcd658,Removal Of Two Or More Teeth - Surgical- PER EXTRA TOOTH,surgeries
pcd669,Exposure Of Unerupted or Impacted Tooth x 1,surgeries
pcd670,Exposure Of Unerupted or Impacted Tooth x 2,surgeries
pcd672,Pericision (Fibrotomy) 3 Quadrant,surgeries
pcd673,Pericision (Fibrotomy) 4 Quadrant,surgeries
pcd690,Infection - Drain Abscess - Cellulitis Extra Oral,surgeries
pcd693,Tumour - Benign Extensive Including Bone,surgeries
pcd695,Removal Hyperplasia - Localised,surgeries
pcd696,Removal Hyperplasia - Extensive,surgeries
pcd699,Reconstruction Of Alveolar Ridge/Grafting,surgeries
pcd716,Root end restoration - Per Root,surgeries
pcd721,Pallidium crown skeleton,surgeries
pcd725,Fluoridation -Per jaw,surgeries
pcd733,Bleaching of Teeth-Both jaws,surgeries
pcd737,"Coronary Artery Bypass, single vessel (using vein or artery)",surgeries
pcd740,"Coronary Artery Bypass, quadruple vessel or more (using vein or artery)",surgeries
pcd741,Open Repair of Atrial Septal Defect (ASD),surgeries
pcd747,Balloon Valvuloplasty - Mitral,surgeries
pcd748,Balloon Valvuloplasty - Aortic,surgeries
pcd749,Pacemaker Surgery - Initial Implantation (Excluding The Cost Of The Pacemaker),surgeries
pcd751,Maze Arrhythmia Surgery,surgeries
pcd753,Maze Arryhthmia Surgery (Standalone procedure),surgeries
pcd756,Bentall’s Procedure (includes Aortic Valve replacement),surgeries
pcd757,Open Ascending Aortic Aneurysm Repair (Suprarenal),surgeries
pcd758,Percutaneous Repair of Atrial Septal Defect,surgeries
pcd759,Percutaneous Repair of Patent Foramen Ovale (PFO),surgeries
pcd84,Anterior Resection Of Rectum - Low With Coloanal Anastomosis,surgeries
sur0014,Aspiration Of Subcutaneous Haematoma,surgeries
sur0015,Autograft Anterior Cruciate Ligament Reconstruction (As Sole Procedure),surgeries
sur0018,Biopsy Of Artery (Including Temporal) (As Sole Procedure),surgeries
sur0021,Biopsy Of Lesion Of Pinna (As Sole Procedure),surgeries
sur0026,Bone Flap To Frontal Sinus (And Bilateral),surgeries
sur0029,Cannulation Or Decannulation For Ecmo (Extracorporeal Membrane Oxygenation),surgeries
sur0041,Closure Of Bypass Of Oesophagus,surgeries
sur0075,Debridement Of Infected Total Joint Replacement,surgeries
sur0079,Decompression For Central Spinal Stenosis (3 Or More Levels),surgeries
sur0101,Dorsal Root Ganglion Block (Radiofrequency),surgeries
sur0102,Double Switch Procedure (Arterial and Atrial),surgeries
sur0108,Ectopic Pregnancy (post-rupture evacuation),surgeries
sur0128,HERNIORRHAPHY - STRANGULATED,surgeries
sur0157,Zygomatic Fracture (Fillies Operation),surgeries
sur0181,volarslab,surgeries
diag1901,LUMBAR SPINE RIGHT OBLIQUE,x-rays and contrast studies
diag1906,RIGHT ANKLE MORTISE,x-rays and contrast studies
diag1911,Submentovertex View (SMV),ultrasound
diag1912,Thoracolumber Spine Left Oblique view,ultrasound
diag1913,Thoracolumber Spine Right Oblique view,ultrasound
diag2002,XRAY Intravenous Cholangiogram,x-rays and contrast studies
diag2064,XRAY OMV 15 degree,x-rays and contrast studies
diag2126,XRAY Scoliosis Left Bending,x-rays and contrast studies
diag2127,XRAY Scoliosis Right Bending,x-rays and contrast studies
diag2129,XRAY Second opinion,x-rays and contrast studies
ann0070,ARIK ANNUAL MALE BELOW 40YRS,selective health screening
ann0069,ARIK ANNUAL MALE ABOVE 40YRS,selective health screening
ann0071,ARIK ANNUAL FEMALE ABOVE 40YRS,selective health screening
ann0072,ARIK ANNUAL FEMALE BELOW 40YRS,selective health screening
nhis-093-016,Tonometry,ophthalmic care
nhis-093-018,Refraction,ophthalmic care
brg2220,LATANOPROST EYE DROP  (BRANDED),non-chronic medications
brg1163,ANTACID SUSPENSION (BRANDED),non-chronic medications
nhis-121-005,Scaling & Polishing - light (therapeutic),dentistry
to be removed,,non-chronic medications
nhis-121-004,Scaling & Polishing - heavy (therapeutic),dentistry
nhis-177-003,Panoramic View - X-ray,x-rays and contrast studies
brg1129,AMOXICILLIN CLAVULANIC ACID 625MG TAB (BRANDED),non-chronic medications
med0388,Ketoconazole Cream,non-chronic medications
imu0002,Vitamin A Vaccine,immunizations
nhis-063-233,Wound Debridement ( Under GA ),surgeries
med0398,MEFENAMIC ACID 500MG TAB,non-chronic medications
med0588,Secnidazole 2mg,non-chronic medications
med0587,Simethicone 200mg,non-chronic medications
med0586,Duspatalin 135mg,non-chronic medications
oph0040,SINGLE VISION TRANS ARC (HIGH POWER),spectacles frames and contact lenses
oph0045,FRAMES,spectacles frames and contact lenses
nhis-081-009,Slit lamp examination,ophthalmic care
nhis-04-02-02,"Activated charcoal Granule, Powder for 5g/satchet, powder 25 g, 50 g pack, for",non-chronic medications
brg4208,COUGH SYRUP (BRANDED),non-chronic medications
brg2278,LORATIDINE 10MG TAB  (BRANDED),non-chronic medications
brg1910,SULFADOXINE AND PYRIMETHAMINE  (BRANDED),non-chronic medications
brg1081,ARTHEMETER  LUMEFRANTINE 80/480  (BRANDED),non-chronic medications
brg1250,AMOXICILLIN CLAVULANIC ACID 1G TAB (BRANDED),non-chronic medications
nhis-16-01-08,Magnesium Trisilicate Mixtures 250mg/ml 200mls,non-chronic medications
brg1482,CEFUROXIME 125MG SUSPENSION  (BRANDED),non-chronic medications
brg2643,PARACETAMOL  250MG SYRUP (BRANDED),non-chronic medications
brg1202,ARTHEMETER  LUMEFRANTINE SYRUP (BRANDED),non-chronic medications
brg2029,OMEPRAZOLE 40MG  (BRANDED),non-chronic medications
brg1063,METHYLDOPA 250MG  (BRANDED),non-chronic medications
brg2202,LABETALOL 200MG  (BRANDED),non-chronic medications
brg2447,VITAMIN C 1000MG (BRANDED),non-chronic medications
brg2189,KETOCONAZOLE 200MG TAB (BRANDED),non-chronic medications
brg2668,PREDNISOLONE 5MG TAB (BRANDED),non-chronic medications
brg2896,SALBUTAMOL TAB 4MG (BRANDED),non-chronic medications
brg1818,VITAMIN C 100MG/5MLS SYRUP (BRANDED),non-chronic medications
brg1527,CHLORPHENIRAMINE 4MG TAB (BRANDED),non-chronic medications
brg1211,DICLOFENAC 75MG and MISOPROSTOL 200MCG  (BRANDED),non-chronic medications
brg1503,EAR WAX SOFTENER (BRANDED),non-chronic medications
brg1337,DICLOFENAC 50MG  (BRANDED),non-chronic medications
med0604,CERUMOL EAR DROP,non-chronic medications
brg2559,OFLOXACIN 200MG TAB (BRANDED),non-chronic medications
brg3302,AZITHROMYCIN 200MG/5ML SYRUP  (BRANDED),non-chronic medications
brg1162,ANTAZOLINE 0.05%/ TETRAHYDROZOLINE 0.04% EYE DROP  (BRANDED),non-chronic medications
nhis-179-003,Pelvic Scan,ultrasound
nhis-081-006,Indirect Ophthalmoscopy,ophthalmic care
meb0601,PREDNISOLONE EYE DROP BRANDED,non-chronic medications
brg1025,ACICLOVIR TAB 400MG,non-chronic medications
brg1106,AMLODIPINE 10MG (OTHER BRANDS),chronic medication
brg1211,ARTHROTEC (DICLOFENAC and MISOPROSTOL),surgeries
brg1256,AUGMENTIN 228MG/5ML SUSP,non-chronic medications
brg1280,BABY ZINC TABLET X 10,non-chronic medications
brg1390,BROMAZEPAM 1.5MG TAB,non-chronic medications
brg1477,CEFTRIAZONE INJ (OTHER BRANDS) 1G,non-chronic medications
brg1569,CLEXANE INJ 40MG,non-chronic medications
brg1661,CYTOTEC (MISOPRISTOL) 200MCG TABLET,non-chronic medications
brg1673,DAONIL 5MG,non-chronic medications
brg1711,DIABETMIN METFORMIN 500MG,chronic medication
brg1773,DUPHASTON TABLET 10MG,non-chronic medications
brg1958,FLUCAMED CAPSULES 200mg,non-chronic medications
brg2119,HYDROCORTISONE 100MG INJ,non-chronic medications
brg2280,LORATIDINE SYRUP,non-chronic medications
brg2315,MAGNESIUM SULPHATE INJ.,chronic medication
brg2420,MYCONYS NYSTATIN ORAL SUSPENSION 30ML,non-chronic medications
brg2617,OTOMED EAR DROPS,non-chronic medications
brg2896,SALBUTAMOL TAB 4MG,chronic medication
brg3077,TRANEXAMIC ACID 500MG INJ,non-chronic medications
nhis-010-002,Specialist Review (Per visit),consultation specialist
nhis-030-002,Normal Delivery,maternity
nhis-033-013,Myomectomy (Abdominal),surgeries
nhis-063-088,Laparotomy,surgeries
nhis-181-310,HIV Screening,clinical pathology
inp0033,Nursing Care Services,consultation general
med0609,Syringe (10mls),medical appliances/consumables
out0186,Urea Breath Test,clinical pathology
sur0185,Refashioning Ear,surgeries
nhis-03-02-05,Hydrocortisone Injection (Sodium Succinate) in vial Vial,non-chronic medications
nhis-06-05-04,Artemether + Lumefantrine Tablet/caps/soft Gel/Others 20mg/120mg Tab x  24s,non-chronic medications
nhis-06-07-37,Ceftriaxone Injection 1g IV Vial,non-chronic medications
nhis-14-01-01,Acyclovir Cream 0.05 Tube,non-chronic medications
nhis-16-06-02,Benzyl benzoate + bismuth Oxide + Bismuth subgallate+ Hydrocortisone Suppository 33mg + 24mg + 59mg supp,non-chronic medications
nhis-31-01-01,Vildagliptin Tablet 50mg Tab,chronic medication
brg1229,ASTYFER SYRUP (BRANDED),non-chronic medications
brg1597,ATORVASTATIN 20MG  (BRANDED),chronic medication
brg1712,GLICLAZIDE 60MG  (BRANDED),chronic medication
brg1838,TAB PARACETAMOL 1G  (BRANDED),non-chronic medications
brg2334,IVERMECTIN 3MG TAB (BRANDED),non-chronic medications
brg2369,METRONIDAZOLE 200MG/5MLS SYRUP (BRANDED),non-chronic medications
brg2742,NORETHISTERONE 5MG  (BRANDED),non-chronic medications
brg4173,ESCITALOPRAM 10MG BRANDED,chronic medication
brg4458,ITRACONAZOLE 100MG BRANDED,non-chronic medications
brg4614,NEPAFENAC OPHTHALMIC SUSPENSION (BRANDED),non-chronic medications
med0579,Rocephin 500mg inj,non-chronic medications
med0591,ANTACID TAB,non-chronic medications
med0597,CODEINE AND PARACETAMOL 30/500MG,non-chronic medications
med625,CAMOSUNATE POWDER  (1- 6 YEARS),non-chronic medications
nhis-05-01-18,Pregabalin Tablet 150mg Tablet,non-chronic medications
nhis-05-01-19,Pregabalin + Methylcobalamin Tablet 75mg+750mcg Ta,non-chronic medications
nhis-06-07-22,Azithromycin Suspension 200mg/ 5ml 30mls,non-chronic medications
nhis-06-07-28,Cefixime Suspension 100mg/5ml 100ml,non-chronic medications
nhis-15-02-09,Xylometazoline Nasal drops 0.0025 10mls,non-chronic medications
nhis-15-01-01,Chloramphenicol Ear Drops 0.05 10mls,non-chronic medications
nhis-14-06-12,Miconazole + Hydrocortisone Cream 2%  +  1% Tube,non-chronic medications
nhis-12-05-03,Digoxin Tablets 0.25mg Tab.,chronic medication
nhis-06-10-12,Tenofovir 300mg Tablet Tablet 300mg Tablet,chronic medication
nhis-11-03-01,Acetylsalicylic acid Tablet 75 mg Tab,chronic medication
brg2903,CANDERSARTAN 16MG  (BRANDED),chronic medication
brg1454,CARBAMAZEPINE 200MG TAB (BRANDED),chronic medication
brg1246,ATORVASTATIN 10MG  (BRANDED),chronic medication
brg1224,ASPIRIN 75MG  (BRANDED),chronic medication
brg2641,TAB PARACETAMOL 500MG (BRANDED),non-chronic medications
brg2357,OMEPRAZOLE 20MG TAB  (BRANDED),non-chronic medications
brg1706,CHLORAMPHENICCOL EYE DROP  (BRANDED),non-chronic medications
brg2277,LORATADINE SYRUP  (BRANDED),non-chronic medications
brg2117,AMILORIDE HYDROCHLORIDE 5MG AND HYDROCHLOROTHIAZID,chronic medication
med0592,Cough Syrup (Expectorant),non-chronic medications
brg2547,"TIMOLOL 0,5% EYE DROP (BRANDED)",chronic medication
nhis-14-02-11,Methyl Salicylate Ointment 4 – 20% methyl salicyla,non-chronic medications
brg2208,TERBINAFINE HYDROCHLORIDE CREAM  (BRANDED),non-chronic medications
brg2289,LOSARTAN 100MG (BRANDED),chronic medication
brg1485,CELECOXIB 200MG CAPS (BRANDED),non-chronic medications
nhis-02-05-01,Orphenadrine Tablet (citrate) 100mg Tab.,non-chronic medications
nhis-03-01-01,Cetrizine Tablet 10mg Tab.,non-chronic medications
nhis-03-01-02,Cetrizine Syrup 1mg/5ml 100ml,non-chronic medications
brg1988,FUROSEMIDE 40MG  (BRANDED),non-chronic medications
brg1110,AMLODIPINE 5MG  (BRANDED),chronic medication
brg1365,BISOPROLOL 2.5MG  (BRANDED),chronic medication
brg2311,PREGABALIN 75MG CAPS  (BRANDED),chronic medication
brg2250,LISINOPRIL 10MG TAB (BRANDED),chronic medication
brg2939,TIZANIDINE 2MG  (BRANDED),chronic medication
nhis-14-07-01,Benzoic acid + salicylic acid Cream ointment 6% +,non-chronic medications
brg1283,MUPIROCIN CREAM (BRANDED),non-chronic medications
brg2700,CLOPIDOGREL 75MG  (BRANDED),chronic medication
brg1382,BRIMONIDINE EYE DROP (BRANDED),chronic medication
nhis-23-02-15,Escitalopram 10mg Tablet Tablet 10mg Tablet,chronic medication
brg1480,CEFUROXIME 250MG TAB (BRANDED),non-chronic medications
drg27,PROPANOLOL 40MG,chronic medication
nhis-14-02-01,Betamethasone Cream 0.1% (Valerate) Tube,non-chronic medications
brg3032,TELMISARTAN 80MG TABS  (BRANDED),chronic medication
brg4502,LETROZOLE 2.5MG BRANDED,non-chronic medications
brg1694,SILVER SULFADIAZINE CREAM  (BRANDED),non-chronic medications
brg4239,DIHYDROCODEINE TAB 30MG (BRANDED),non-chronic medications
brg2166,AMOXICILLIN 125MG/5ML SUSPENSION  (BRANDED),non-chronic medications
brg1078,GLIMEPIRIDE 2MG TAB  (BRANDED),chronic medication
brg2484,NEUROVITE (BRANDED),non-chronic medications
brg2372,TELMISARTAN 40MG  (BRANDED),chronic medication
brg3019,TAMSULOSIN HYDROCHLORIDE 0.4MG CAP (BRANDED),chronic medication
brg1645,ROSUVASTATIN 20MG  (BRANDED),chronic medication
nhia-16-02-03,Metoclopramide Injection 5mg/ml (HCL) Amp.,non-chronic medications
brg1593,CODIENE AND PARACETAMOL 8/500MG  (BRANDED),non-chronic medications
brg2437,INDAPAMIDE 1.5MG  (BRANDED),non-chronic medications
brg1714,GLICLAZIDE 30MG TAB  (BRANDED),chronic medication
med0583,TELMISARTAN/AMLODIPINE/HYDROCHLOROTHIAZIDE(80/5/12,chronic medication
brg2123,HYDROXYCHLOROQUINE 200MG TABS  (BRANDED),non-chronic medications
nhis-26-01-04,Calcium carbonate 600mg/Vitamin D3 tabs Tablet 600,non-chronic medications
brg1245,ATORVASTATIN 40MG  (BRANDED),chronic medication
brg1133,AMOXICILLIN CLAVULANIC ACID 457MG SUSPENSION  (BRA,non-chronic medications
brg2849,TRAMADOL 50MG  (BRANDED),non-chronic medications
brg2571,OLOPATADINE EYE DROP (BRANDED),non-chronic medications
med0594,Levetiracetam (Suvitra) 500mg,non-chronic medications
brg2042,METFORMIN 1000MG  (BRANDED),chronic medication
brg1559,CLARITHROMYCIN 500MG CAP (BRANDED),non-chronic medications
med0582,ESCITALOPRAM 5MG,non-chronic medications
brg2386,INSULIN 30 FLEXPEN  (BRANDED),chronic medication
brg4511,LINAGLIPTIN 5MG (BRANDED),chronic medication
med0576,Rocephin 500mg,non-chronic medications
brg4435,INSULIN 30 70 INJECTION (BRANDED),chronic medication
brg2000,VIDAGLIPTIN/METFORMIN 50/1000MG TAB (BRANDED),chronic medication
brg1900,AMLODIPINE VALSARTAN HCT 10/160/12.5MG TAB  (BRAND,chronic medication
brg3254,RIVAROXABAN 20MG  (BRANDED),chronic medication
brg2111,HUMULIN 70/30 100ML (BRANDED),chronic medication
med0403,SODIUM VALPROATE TAB 200MG,chronic medication
brg1723,DICLOFENAC SODIUM 50MG (BRANDED),non-chronic medications
brg1693,LOZENGES (BRANDED),non-chronic medications
med0618,BRONCHOLYTE 4mg/5ml,non-chronic medications
brg3282,ALBENDAZOLE 400MG TAB  (BRANDED),non-chronic medications
brg1160,PARACETAMOL 450MG/ ORPHENADRINE 35MG   (BRANDED),non-chronic medications
brg1930,FERROUS SULPHATE 200MG TAB (BRANDED),non-chronic medications
brg1443,CLOTRIMAZOLE CREAM 100MG (BRANDED),non-chronic medications
brg1987,FUROSEMIDE 20MG  (BRANDED),chronic medication
brg2254,LISINOPRIL 5MG TAB (BRANDED),chronic medication
brg2116,HYDROCHLOROTHIAZIDE 25MG (BRANDED),chronic medication
brg2312,PARACETAMOL 125MG SYRUP  (BRANDED),non-chronic medications
brg4196,CLOTRIMAZOLE VAGINAL CREAM (BRANDED),non-chronic medications
